E3TIMESTAMP;LIT_221_RE4_000;LIT_221_RE4_000_QUALITY;PIT_221_S01_000;PIT_221_S01_000_QUALITY;FIT_221_S01_000;FIT_221_S01_000_QUALITY;FIT_221_S01_TLL;FIT_221_S01_TLL_QUALITY
2026-02-01 03:30:49.439;2,9;192;1,39;192;73,7;192;812472,6;192,0
2026-02-01 03:31:49.462;2,9;192;1,39;192;73,7;192;812472,6;192,0
2026-02-01 03:32:49.470;2,9;192;1,39;192;73,7;192;812472,6;192,0
2026-02-01 03:33:49.495;2,9;192;1,39;192;73,5;192;812472,6;192,0
2026-02-01 03:34:49.433;2,9;192;1,39;192;73,5;192;812472,6;192,0
2026-02-01 03:35:49.425;2,9;192;1,39;192;73,5;192;812472,6;192,0
2026-02-01 03:36:49.470;2,9;192;1,39;192;73,4;192;812472,6;192,0
2026-02-01 03:37:49.450;2,9;192;1,39;192;73,4;192;812472,6;192,0
2026-02-01 03:38:49.455;2,9;192;1,39;192;73,4;192;812472,6;192,0
2026-02-01 03:39:49.498;2,9;192;1,39;192;72,8;192;812472,6;192,0
2026-02-01 03:40:49.485;2,9;192;1,39;192;72,8;192;812472,6;192,0
2026-02-01 03:41:49.445;2,9;192;1,39;192;72,8;192;812472,6;192,0
2026-02-01 03:48:49.419;2,9;192;1,39;192;72,0;192;812472,6;192,0
2026-02-01 03:49:49.425;2,9;192;1,39;192;72,0;192;812472,6;192,0
2026-02-01 03:50:49.440;2,9;192;1,39;192;72,0;192;812472,6;192,0
2026-02-01 03:51:49.439;2,9;192;1,39;192;72,2;192;812472,6;192,0
2026-02-01 03:52:49.409;2,9;192;1,39;192;72,2;192;812472,6;192,0
2026-02-01 03:53:49.504;2,9;192;1,39;192;72,2;192;812472,6;192,0
2026-02-01 03:54:49.424;2,9;192;1,39;192;72,1;192;812472,6;192,0
2026-02-01 03:55:49.466;2,9;192;1,39;192;72,1;192;812472,6;192,0
2026-02-01 03:56:49.471;2,9;192;1,39;192;72,1;192;812472,6;192,0
2026-02-01 03:57:49.456;2,9;192;1,39;192;71,5;192;812472,6;192,0
2026-02-01 03:58:49.424;2,9;192;1,39;192;71,5;192;812472,6;192,0
2026-02-01 03:59:49.471;2,9;192;1,39;192;71,5;192;812472,6;192,0
2026-02-01 04:00:49.502;2,9;192;1,39;192;71,0;192;812472,6;192,0
2026-02-01 04:01:49.419;2,9;192;1,39;192;71,0;192;812472,6;192,0
2026-02-01 04:02:49.503;2,9;192;1,39;192;71,0;192;812472,6;192,0
2026-02-01 04:03:49.424;2,9;192;1,39;192;70,9;192;812472,6;192,0
2026-02-01 04:04:49.465;2,9;192;1,39;192;70,9;192;812472,6;192,0
2026-02-01 04:05:49.442;2,9;192;1,39;192;70,9;192;812472,6;192,0
2026-02-01 04:06:49.441;2,9;192;1,39;192;70,9;192;812472,6;192,0
2026-02-01 04:07:49.519;3,0;192;1,4;192;71,1;192;812472,6;192,0
2026-02-01 04:08:49.495;3,0;192;1,4;192;71,1;192;812472,6;192,0
2026-02-01 04:09:49.488;3,1;192;1,41;192;70,5;192;812472,6;192,0
2026-02-01 04:10:49.457;3,1;192;1,41;192;70,5;192;812472,6;192,0
2026-02-01 04:11:49.487;3,1;192;1,41;192;70,5;192;812472,6;192,0
2026-02-01 04:12:49.457;3,1;192;1,41;192;71,0;192;812472,6;192,0
2026-02-01 04:13:49.488;3,1;192;1,41;192;71,0;192;812472,6;192,0
2026-02-01 04:14:49.423;3,1;192;1,41;192;71,0;192;812472,6;192,0
2026-02-01 04:15:49.490;3,1;192;1,41;192;70,0;192;812472,6;192,0
2026-02-01 04:16:49.409;3,1;192;1,41;192;70,0;192;812472,6;192,0
2026-02-01 04:17:49.408;3,1;192;1,41;192;70,0;192;812472,6;192,0
2026-02-01 04:18:49.503;3,1;192;1,41;192;70,0;192;812472,6;192,0
2026-02-01 04:19:49.426;3,1;192;1,41;192;70,0;192;812472,6;192,0
2026-02-01 04:20:49.456;3,1;192;1,41;192;70,0;192;812472,6;192,0
2026-02-01 04:21:49.434;3,1;192;1,41;192;70,0;192;812472,6;192,0
2026-02-01 04:22:49.504;3,1;192;1,41;192;70,0;192;812472,6;192,0
2026-02-01 04:23:49.423;3,1;192;1,41;192;70,0;192;812472,6;192,0
2026-02-01 04:24:49.408;3,1;192;1,41;192;70,0;192;812472,6;192,0
2026-02-01 04:25:49.582;3,1;192;1,41;192;70,0;192;812472,6;192,0
2026-02-01 04:26:49.468;3,1;192;1,41;192;70,0;192;812472,6;192,0
2026-02-01 04:27:49.535;3,1;192;1,41;192;70,4;192;812472,6;192,0
2026-02-01 04:28:49.508;3,1;192;1,41;192;70,4;192;812472,6;192,0
2026-02-01 04:29:49.513;3,1;192;1,41;192;70,4;192;812472,6;192,0
2026-02-01 04:30:49.442;3,2;192;1,42;192;69,6;192;812472,6;192,0
2026-02-01 04:31:49.421;3,2;192;1,42;192;69,6;192;812472,6;192,0
2026-02-01 04:32:49.427;3,2;192;1,42;192;69,6;192;812472,6;192,0
2026-02-01 04:33:49.465;3,3;192;1,43;192;70,1;192;812472,6;192,0
2026-02-01 04:34:49.474;3,3;192;1,43;192;70,1;192;812472,6;192,0
2026-02-01 04:35:49.489;3,3;192;1,43;192;70,1;192;812472,6;192,0
2026-02-01 04:36:49.473;3,1;192;1,41;192;69,9;192;812472,6;192,0
2026-02-01 04:37:49.453;3,1;192;1,41;192;69,9;192;812472,6;192,0
2026-02-01 04:38:49.489;3,1;192;1,41;192;69,9;192;812472,6;192,0
2026-02-01 04:39:49.439;3,3;192;1,43;192;70,1;192;812472,6;192,0
2026-02-01 04:40:49.428;3,3;192;1,43;192;70,1;192;812472,6;192,0
2026-02-01 04:41:49.526;3,3;192;1,43;192;70,1;192;812472,6;192,0
2026-02-01 04:42:49.563;3,3;192;1,43;192;69,9;192;812472,6;192,0
2026-02-01 04:43:49.488;3,3;192;1,43;192;69,9;192;812472,6;192,0
2026-02-01 04:44:49.489;3,3;192;1,43;192;69,9;192;812472,6;192,0
2026-02-01 04:45:49.458;3,2;192;1,42;192;69,6;192;812472,6;192,0
2026-02-01 04:46:49.427;3,2;192;1,42;192;69,6;192;812472,6;192,0
2026-02-01 04:47:49.452;3,2;192;1,42;192;69,6;192;812472,6;192,0
2026-02-01 04:48:49.489;3,3;192;1,43;192;69,5;192;812472,6;192,0
2026-02-01 04:49:49.474;3,3;192;1,43;192;69,5;192;812472,6;192,0
2026-02-01 04:50:49.475;3,3;192;1,43;192;69,5;192;812472,6;192,0
2026-02-01 04:51:50.521;3,3;192;1,43;192;70,0;192;812472,6;192,0
2026-02-01 04:52:49.424;3,3;192;1,43;192;70,0;192;812472,6;192,0
2026-02-01 04:53:49.475;3,3;192;1,43;192;70,0;192;812472,6;192,0
2026-02-01 04:54:49.419;3,3;192;1,43;192;70,3;192;812472,6;192,0
2026-02-01 04:55:49.428;3,3;192;1,43;192;70,3;192;812472,6;192,0
2026-02-01 04:56:49.427;3,3;192;1,43;192;70,3;192;812472,6;192,0
2026-02-01 04:57:49.514;3,3;192;1,43;192;70,3;192;812472,6;192,0
2026-02-01 04:58:49.522;3,3;192;1,43;192;71,8;192;812472,6;192,0
2026-02-01 04:59:49.449;3,3;192;1,43;192;71,8;192;812472,6;192,0
2026-02-01 05:00:49.443;3,3;192;1,43;192;72,3;192;812472,6;192,0
2026-02-01 05:01:49.429;3,3;192;1,43;192;72,3;192;812472,6;192,0
2026-02-01 05:02:49.435;3,3;192;1,43;192;72,3;192;812472,6;192,0
2026-02-01 05:03:49.458;3,4;192;1,44;192;72,5;192;812472,6;192,0
2026-02-01 05:04:49.477;3,4;192;1,44;192;72,5;192;812472,6;192,0
2026-02-01 05:05:49.445;3,4;192;1,44;192;72,5;192;812472,6;192,0
2026-02-01 05:06:49.444;3,3;192;1,43;192;73,2;192;812472,6;192,0
2026-02-01 05:07:49.445;3,3;192;1,43;192;73,2;192;812472,6;192,0
2026-02-01 05:08:49.507;3,3;192;1,43;192;73,2;192;812472,6;192,0
2026-02-01 05:09:49.476;3,5;192;1,45;192;73,1;192;812472,6;192,0
2026-02-01 05:10:49.490;3,5;192;1,45;192;73,1;192;812472,6;192,0
2026-02-01 05:11:49.460;3,5;192;1,45;192;73,1;192;812472,6;192,0
2026-02-01 05:12:49.428;3,5;192;1,45;192;73,3;192;812472,6;192,0
2026-02-01 05:13:49.460;3,5;192;1,45;192;73,3;192;812472,6;192,0
2026-02-01 05:14:49.437;3,5;192;1,45;192;73,3;192;812472,6;192,0
2026-02-01 05:15:49.430;3,5;192;1,45;192;74,0;192;812472,6;192,0
2026-02-01 05:16:49.523;3,5;192;1,45;192;74,0;192;812472,6;192,0
2026-02-01 05:17:49.452;3,5;192;1,45;192;74,0;192;812472,6;192,0
2026-02-01 05:18:49.455;3,5;192;1,45;192;72,9;192;812472,6;192,0
2026-02-01 05:19:49.421;3,5;192;1,45;192;72,9;192;812472,6;192,0
2026-02-01 05:20:49.507;3,5;192;1,45;192;72,9;192;812472,6;192,0
2026-02-01 05:21:49.506;3,5;192;1,45;192;72,9;192;812472,6;192,0
2026-02-01 05:22:49.428;3,5;192;1,45;192;72,6;192;812472,6;192,0
2026-02-01 05:23:49.507;3,5;192;1,45;192;72,6;192;812472,6;192,0
2026-02-01 05:24:49.461;3,5;192;1,45;192;73,0;192;812472,6;192,0
